City,FuelType,BodyType,KmsDriven,TransmissionType,NumberOwner,Insurance,Manufacturer,CarModel,ModelYear,VariantName,Mileage,Engine,Price,No of Cylinder,Seats,AgeOfCar
Bangalore,Petrol,Hatchback,120000,Manual,3,Third Party,Maruti,Maruti Celerio,2015,VXI,23,998,400000.0,3,5,9
Bangalore,Petrol,SUV,32706,Manual,2,Comprehensive,Ford,Ford Ecosport,2018,1.5 Petrol Titanium BSIV,17,1497,811000.0,3,5,6
Bangalore,Petrol,Hatchback,11949,Manual,1,Comprehensive,Tata,Tata Tiago,2018,1.2 Revotron XZ,23,1199,585000.0,3,5,6
Bangalore,Petrol,Sedan,17794,Manual,1,Comprehensive,Hyundai,Hyundai Xcent,2014,1.2 Kappa S Option,19,1197,462000.0,4,5,10
Bangalore,Diesel,SUV,60000,Manual,1,Third Party,Maruti,Maruti SX4 S Cross,2015,DDiS 200 Zeta,23,1248,790000.0,4,5,9
Bangalore,Diesel,SUV,20000,Manual,1,Third Party,Jeep,Jeep Compass,2020,2.0 Longitude BSIV,17,1956,1900000.0,4,5,4
Bangalore,Petrol,Hatchback,37772,Manual,1,Comprehensive,Datsun,Datsun GO,2017,T Option BSIV,20,1198,345000.0,3,5,7
Bangalore,Petrol,SUV,30000,Automatic,1,Third Party,Hyundai,Hyundai Venue,2021,SX Plus Turbo DCT BSIV,18,998,1200000.0,3,5,3
Bangalore,Petrol,Sedan,37000,Automatic,1,Comprehensive,Maruti,Maruti Ciaz,2018,Alpha Automatic BSIV,20,1462,960000.0,4,5,6
Bangalore,Petrol,Hatchback,11949,Manual,1,Comprehensive,Tata,Tata Tiago,2017,1.2 Revotron XZ WO Alloy,23,1199,585000.0,3,5,7
Bangalore,Petrol,Hatchback,50000,Manual,1,Third Party,Maruti,Maruti Baleno,2018,1.2 Delta,21,1197,690000.0,4,5,6
Bangalore,Petrol,Hatchback,24887,Automatic,1,Third Party,Hyundai,Hyundai Grand i10,2019,1.2 Kappa Sportz Option AT,18,1197,682000.0,4,5,5
Bangalore,Petrol,Hatchback,23000,Automatic,1,Comprehensive,Honda,Honda Jazz,2018,VX CVT,18,1199,825000.0,4,5,6
Bangalore,Petrol,Hatchback,48928,Automatic,1,Comprehensive,Tata,Tata Tiago,2018,1.2 Revotron XZA,23,1199,595000.0,3,5,6
Bangalore,Diesel,SUV,108862,Manual,3,Comprehensive,Mahindra,Mahindra XUV500,2014,W6 2WD,15,2179,690000.0,4,7,10
Bangalore,Diesel,SUV,80000,Manual,1,Third Party,Jeep,Jeep Compass,2018,2.0 Limited,17,1956,1350000.0,4,5,6
Bangalore,Diesel,Hatchback,65376,Manual,2,Comprehensive,Hyundai,Hyundai i20,2014,Asta 1.4 CRDi,21,1396,521000.0,4,5,10
Bangalore,Petrol,SUV,10000,Manual,1,Third Party,Tata,Tata Nexon,2022,XM Plus S BSVI,17,1199,1005000.0,3,5,2
Bangalore,Petrol,Sedan,67000,Manual,2,Comprehensive,Honda,Honda City,2016,i VTEC V,17,1497,775000.0,4,5,8
Bangalore,Diesel,Sedan,100000,Automatic,3,Third Party,BMW,BMW 5 Series,2011,520d Sedan,18,1995,2200000.0,4,5,13
Bangalore,Petrol,Hatchback,18083,Manual,1,Comprehensive,Maruti,Maruti Swift,2016,VXI,22,1197,582000.0,4,5,8
Bangalore,Petrol,SUV,30000,Manual,1,Third Party,Renault,Renault Duster,2020,RXS,16,1498,1090000.0,4,5,4
Bangalore,Petrol,Hatchback,57634,Manual,2,Comprehensive,Tata,Tata Tiago,2016,1.2 Revotron XZ,23,1199,457000.0,3,5,8
Bangalore,Petrol,Sedan,50000,Automatic,2,Third Party,Mercedes-Benz,Mercedes-Benz S-Class,2016,S 500 L,7,4663,4900000.0,8,5,8
Bangalore,Petrol,Sedan,110000,Manual,1,Third Party,Honda,Honda City,2015,i VTEC V,17,1497,550000.0,4,5,9
Bangalore,Petrol,Hatchback,23447,Automatic,1,Comprehensive,Hyundai,Hyundai Santro,2018,Sportz AMT BSIV,20,1086,570000.0,4,5,6
Bangalore,Lpg,Hatchback,30000,Manual,2,Third Party,Hyundai,Hyundai Santro Xing,2009,GLS LPG,13,1086,220000.00000000003,3,5,15
Bangalore,Petrol,Sedan,33000,Automatic,1,Comprehensive,Mercedes-Benz,Mercedes-Benz E-Class,2017,Exclusive E 200,15,1991,4145000.000000001,4,5,7
Bangalore,Diesel,SUV,87667,Manual,2,Third Party,Mahindra,Mahindra XUV500,2014,W6 2WD,15,2179,861000.0,4,7,10
Bangalore,Diesel,Sedan,40000,Automatic,2,Third Party,Audi,Audi A4,2016,35 TDI Premium,17,1968,1785000.0000000002,4,5,8
Bangalore,Diesel,SUV,79012,Manual,2,Comprehensive,Mahindra,Mahindra XUV500,2014,W8 2WD,15,2179,802999.9999999999,4,7,10
Bangalore,Diesel,SUV,31344,Manual,1,Comprehensive,Jeep,Jeep Compass,2021,Model S Diesel BSVI,17,1956,2565000.0,4,5,3
Bangalore,Petrol,Sedan,50000,Manual,1,Third Party,Hyundai,Hyundai Xcent,2018,1.2 VTVT SX,20,1197,674000.0,4,5,6
Bangalore,Petrol,Hatchback,12434,Manual,1,Comprehensive,Maruti,Maruti Wagon R,2015,VXI BS IV,20,998,349000.0,3,5,9
